2018-09-16 11:47:13,832 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 11:47:13,834 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:47:13,872 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 11:47:48,117 [Worker-215] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: walletHubTest:walletHubTest:0.0.1-SNAPSHOT @ F:\deeksha working\selenium projects\walletHubTest\pom.xml.
2018-09-16 11:47:48,560 [Worker-215] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:47:48,561 [Worker-215] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 11:47:48,564 [Worker-215] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:47:48,565 [Worker-215] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 11:47:57,366 [Worker-215] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-09-16 11:47:57,861 [Worker-215] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: walletHubTest:walletHubTest:0.0.1-SNAPSHOT @ F:\deeksha working\selenium projects\walletHubTest\pom.xml.
2018-09-16 11:47:58,192 [Worker-215] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /walletHubTest/src
2018-09-16 11:47:58,193 [Worker-215] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /walletHubTest/src/test/java because it overlaps with /walletHubTest/src
2018-09-16 11:47:58,344 [Worker-215] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-09-16 11:47:58,671 [Worker-218] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:47:58,672 [Worker-218] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
